iter	Passed	Remaining
0	1	542
1	3	515
2	5	505
3	6	502
4	10	593
5	11	578
6	13	563
7	15	550
8	16	541
9	18	533
10	20	526
11	21	520
12	23	516
13	26	538
14	28	532
15	29	526
16	31	521
17	32	516
18	34	512
19	36	507
20	37	503
21	40	512
22	42	512
23	44	508
24	45	504
25	47	500
26	49	496
27	50	493
28	52	489
29	54	487
30	56	494
31	58	492
32	60	489
33	62	485
34	63	482
35	65	479
36	67	477
37	68	474
38	70	471
39	73	475
40	74	473
41	76	471
42	78	468
43	79	465
44	81	462
45	83	460
46	85	458
47	86	456
48	90	462
49	92	461
50	93	458
51	95	455
52	97	453
53	99	451
54	100	449
55	102	446
56	105	449
57	107	447
58	108	444
59	110	442
60	112	439
61	113	437
62	115	434
63	117	432
64	118	429
65	121	431
66	123	429
67	125	427
68	126	424
69	128	422
70	130	419
71	131	417
72	133	414
73	135	415
74	138	414
75	139	411
76	141	409
77	143	407
78	144	404
79	146	402
80	147	400
81	149	397
82	152	398
83	154	396
84	155	394
85	157	392
86	159	390
87	160	387
88	162	385
89	164	383
90	165	381
91	168	381
92	170	379
93	172	377
94	173	375
95	175	372
96	177	370
97	178	368
98	180	366
99	182	364
100	185	364
101	186	362
102	188	360
103	190	359
104	192	357
105	194	355
106	196	353
107	197	351
108	200	352
109	202	350
110	204	348
111	207	347
112	209	345
113	210	343
114	212	341
115	214	339
116	217	340
117	219	338
118	221	336
119	222	334
120	224	332
121	226	329
122	227	327
123	229	325
124	232	324
125	234	323
126	235	321
127	237	319
128	239	316
129	240	314
130	242	312
131	243	310
132	245	308
133	248	308
134	250	306
135	252	304
136	253	302
137	255	300
138	257	297
139	258	295
140	260	293
141	262	291
142	265	291
143	267	289
144	268	287
145	270	285
146	271	283
147	273	281
148	275	279
149	276	276
150	279	275
151	281	274
152	283	272
153	284	270
154	286	267
155	288	265
156	289	263
157	291	261
158	292	259
159	295	258
160	297	257
161	299	255
162	301	253
163	302	251
164	304	249
165	306	247
166	307	245
167	309	243
168	312	241
169	313	240
170	315	238
171	317	236
172	318	234
173	320	232
174	322	230
175	323	228
176	325	226
177	329	225
178	331	223
179	332	221
180	334	219
181	336	218
182	338	216
183	339	214
184	341	212
185	344	210
186	345	208
187	347	206
188	348	204
189	350	203
190	352	201
191	354	199
192	355	197
193	357	195
194	360	194
195	362	192
196	363	190
197	365	188
198	367	186
199	368	184
200	370	182
201	371	180
202	373	178
203	376	177
204	378	175
205	379	173
206	381	171
207	383	169
208	384	167
209	386	165
210	388	163
211	389	161
212	391	160
213	393	158
214	395	156
215	397	154
216	398	152
217	400	150
218	402	148
219	403	146
220	406	145
221	408	143
222	409	141
223	411	139
224	413	137
225	414	135
226	416	133
227	418	132
228	419	130
229	422	128
230	424	126
231	425	124
232	427	122
233	429	121
234	430	119
235	432	117
236	434	115
237	435	113
238	438	111
239	440	110
240	442	108
241	443	106
242	445	104
243	447	102
244	448	100
245	450	98
246	452	96
247	454	95
248	456	93
249	458	91
250	459	89
251	461	87
252	463	86
253	465	84
254	466	82
255	469	80
256	471	78
257	472	76
258	474	75
259	476	73
260	477	71
261	479	69
262	481	67
263	482	65
264	485	64
265	487	62
266	489	60
267	490	58
268	492	56
269	494	54
270	495	53
271	497	51
272	499	49
273	502	47
274	504	45
275	505	43
276	507	42
277	509	40
278	510	38
279	512	36
280	514	34
281	515	32
282	519	31
283	520	29
284	522	27
285	524	25
286	525	23
287	527	21
288	529	20
289	530	18
290	533	16
291	535	14
292	537	12
293	539	11
294	541	9
295	542	7
296	544	5
297	546	3
298	547	1
299	550	0
