timestamp,link_id,source_device,destination_device,source_interface,destination_interface,link_utilization,latency_ms,packet_loss,throughput_mbps,qos_priority,reachability,traffic_type,anomaly_flag
0,link_1,host_1,switch_1,interface_1,interface_1,50,35,0.0,200,1,0,http,1
0,link_2,host_2,switch_3,interface_2,interface_4,83,28,1.2,452,2,1,video,0
0,link_3,host_3,switch_1,interface_3,interface_7,86,13,0.4,472,3,1,voip,0
0,link_4,host_4,switch_3,interface_4,interface_10,55,5,1.6,242,4,1,file_transfer,0
0,link_5,host_5,switch_1,interface_5,interface_1,19,10,0.8,-27,5,1,http,0
0,link_6,host_6,switch_3,interface_6,interface_4,11,24,0.0,-87,1,1,video,0
0,link_7,host_1,switch_1,interface_7,interface_7,38,34,1.2,116,2,1,voip,0
0,link_8,host_2,switch_3,interface_8,interface_10,76,31,0.4,397,3,1,file_transfer,0
0,link_9,host_3,switch_1,interface_9,interface_1,89,17,1.6,496,4,1,http,0
0,link_10,host_4,switch_3,interface_10,interface_4,66,6,0.8,323,5,1,video,0
1,link_1,host_2,switch_2,interface_3,interface_2,53,34,0.28,220,2,1,video,0
1,link_2,host_3,switch_4,interface_4,interface_5,85,27,1.48,463,3,1,voip,0
1,link_3,host_4,switch_2,interface_5,interface_8,84,13,0.68,463,4,1,file_transfer,0
1,link_4,host_5,switch_4,interface_6,interface_11,51,5,1.88,221,5,1,http,0
1,link_5,host_6,switch_2,interface_7,interface_2,17,10,1.08,-40,1,1,video,0
1,link_6,host_1,switch_4,interface_8,interface_5,12,24,0.28,-81,2,1,voip,0
1,link_7,host_2,switch_2,interface_9,interface_8,42,34,1.48,136,3,1,file_transfer,0
1,link_8,host_3,switch_4,interface_10,interface_11,79,30,0.68,412,4,1,http,0
1,link_9,host_4,switch_2,interface_11,interface_2,88,17,1.88,493,5,1,video,0
1,link_10,host_5,switch_4,interface_12,interface_5,62,6,1.08,304,1,1,voip,0
2,link_1,host_3,switch_3,interface_5,interface_3,57,34,0.56,241,3,1,voip,0
2,link_2,host_4,switch_1,interface_6,interface_6,87,26,1.76,472,4,1,file_transfer,0
2,link_3,host_5,switch_3,interface_7,interface_9,82,12,0.96,452,5,1,http,0
2,link_4,host_6,switch_1,interface_8,interface_12,47,5,0.16,200,1,1,video,0
2,link_5,host_1,switch_3,interface_9,interface_3,15,11,1.36,-52,2,1,voip,0
2,link_6,host_2,switch_1,interface_10,interface_6,14,25,0.56,-72,3,1,file_transfer,0
2,link_7,host_3,switch_3,interface_11,interface_9,46,34,1.76,157,4,1,http,0
2,link_8,host_4,switch_1,interface_12,interface_12,81,30,0.96,426,5,1,video,0
2,link_9,host_5,switch_3,interface_1,interface_3,87,16,0.16,487,1,1,voip,0
2,link_10,host_6,switch_1,interface_2,interface_6,58,5,1.36,284,2,1,file_transfer,0
3,link_1,host_4,switch_4,interface_7,interface_4,61,34,0.84,262,4,1,file_transfer,0
3,link_2,host_5,switch_2,interface_8,interface_7,88,26,0.04,480,5,1,http,0
3,link_3,host_6,switch_4,interface_9,interface_10,79,11,1.24,440,1,1,video,0
3,link_4,host_1,switch_2,interface_10,interface_1,43,5,0.44,179,2,1,voip,0
3,link_5,host_2,switch_4,interface_11,interface_4,13,12,1.64,-62,3,1,file_transfer,0
3,link_6,host_3,switch_2,interface_12,interface_7,16,26,0.84,-63,4,1,http,0
3,link_7,host_4,switch_4,interface_1,interface_10,50,34,0.04,178,5,1,video,0
3,link_8,host_5,switch_2,interface_2,interface_1,84,29,1.24,439,1,1,voip,0
3,link_9,host_6,switch_4,interface_3,interface_4,86,15,0.44,481,2,1,file_transfer,0
3,link_10,host_1,switch_2,interface_4,interface_7,54,5,1.64,263,3,1,http,0
4,link_1,host_5,switch_1,interface_9,interface_5,65,34,1.12,282,5,1,http,0
4,link_2,host_6,switch_3,interface_10,interface_8,89,25,0.32,487,1,1,video,0
4,link_3,host_1,switch_1,interface_11,interface_11,77,11,1.52,427,2,1,voip,0
4,link_4,host_2,switch_3,interface_12,interface_2,39,5,0.72,158,3,1,file_transfer,0
4,link_5,host_3,switch_1,interface_1,interface_5,11,12,1.92,-72,4,1,http,0
4,link_6,host_4,switch_3,interface_2,interface_8,19,27,1.12,-52,5,1,video,0
4,link_7,host_5,switch_1,interface_3,interface_11,54,34,0.32,199,1,1,voip,0
